id;english;german
//Building Window
Level;Level;Stufe
BuildingType;Building Type;Gebäude-Typ
Demolish;Demolish;Abreißen
Upgrade;Upgrade;Verbessern
Search;Search;Suchen
//BuildingTypes
RealEstate;Residential;Wohnung
RealEstateSuburbs;Residential (Suburbs);Vorstadthaus
Commercial;Shop;Geschäft
Factory;Factory;Fabrik
StockExchange;Stock Exchange;Börse
CompanyHQ;Company HQ;Firmenzentrale
ResearchDepartment;Research Dept;Forschungsz.
ClickerBuilding;Clicker Building;Clicker-Zentrale
Airport;Airport;Flughafen
MayorMansion;Mayor's Mansion;Bürgermeister-Villa
//Real Estate
Tenants;Tenants;Mieter
RentPerHour;Rent per hour; Mieteinnahmen pro Stunde
//Shops
ProductType;Product Type; Produkt
Employees;Employees; Angestellte
ProductsSoldPerHour;Products sold per hour; Verkaufte Produkte pro Stunde
FinancialBalance;Financial Balance; Gewinn
ChangeEmployeeNumber; Change Employee Number; Angestelltenzahl Ändern
//Factory
ProductsProducedPerHour;Products produced per hour; Hergestellte Produkte pro Stunde
//StockExchange
SharePrice;Current Share Price;Aktueller Aktienpreis
CompanyValue;Company Value; Wert des Unternehmens
TotalShares;Total Shares;Alle Aktien
MyShares;My Shares;Meine Aktien
MoreDetailsStocks;More Details;Mehr Details
BuySellShares;Buy / Sell;Kaufen / Verkaufen
SharesToPurchase;Shares to purchase;Aktien zu kaufen
SharesToSell;Shares to sell;Aktien zu verkaufen
TransactionFee;Transaction Fee;Transaktionsgebühr
PriceShares;Price;Preis
IncomeShares;Income;Gewinn
//Dialogs
Yes;Yes;Ja
No;No;Nein
UpgradeBuildingTitle;Upgrade Building?;Gebäude Verbessern?
UpgradeBuildingMessage;Do you really want to upgrade this building? This action will cost you <var>.; Möchtest du wirklich dieses Gebäude verbessern? Dies wird dich <var> kosten.
UpgradeBuildingNoSpaceTitle;Not enough Space for Upgrade;Nicht genügend Platz für ein Upgrade
UpgradeBuildingNoSpaceMessage;This plot is not big enough to upgrade this building. Therefore it is on its maximum level for this plot size.;Dieses Grundstück ist nicht groß genug, um ein Gebäudeupgrade durchzuführen.
UpgradeBuildingNoSpaceButton;Dismiss;Verstanden!
DemolishBuildingTitle;Demolish Building?;Gebäude Abreißen?
DemolishBuildingMessage;Do you really want to demolish this building? You will have to build up the building from scratch again.; Möchtest du wirklich dieses Gebäude abreißen? Das Gebäude wirst du wieder von Grund auf bauen müssen.
NoMoneyTitle;Not enough Money;Nicht genügend Geld
NoMoneyDescription;You cannot afford this. You are missing <var>!;Du kannst dir dies nicht leisten. Es fehlen dir <var>.
EnterText;Enter Text;Text eingeben
DeleteProductTitle;Delete Product;Produkt löschen
DeleteProductMessage;Do you really want to delete the product <var>?;Möchtest du wirklich das Produkt <var> löschen?
IncreaseMultiplierTitle;Increase Multiplier?Multiplikator Verbessern?
IncreaseMultiplierMessage;Do you really want to increase the multiplier to <var1>?This action will cost you <var2>.;Möchtest du wirklich den Multiplikator auf <var1> verbessern? Dies wird dich <var2> kosten.
BuyBoosterTitle;Buy booster?Booster kaufen?
BuyBoosterMessage;Do you really want to buy a 4x booster for 60s? This will cost you <var>.;Möchtest du wirklich einen x4-Booster für 60s kaufen? Dies wird dich <var> kosten.
//Company
Statistics;Statistics;Statistiken
Inventory;Inventory;Inventar
Income;Income;Gewinn
GeneralSettings;General;Überblick
Products;Products;Produkte
EditCompanyName;Edit Name; Name ändern
CompanyValue;Company Value;Unternehmenswert
TotalEmployees;Total Employees;Angestellte
CompanyIncome;Income per hour;Gewinn pro Stunde 
CompanyBuilding;Building;Gebäude
StorageCapacity;Storage Capacity;Lagerkapazität
StorageLeft;Space left: ;Platz verbleibend: 
EditCompanyName;Edit Name;Name ändern
AddBuilding;Add Building;Gebäude hinzufügen
AddProduct;Add Product;Produkt hinzufügen
ProductName;Name;Name
ProductionCosts;Production Costs;Produktionskosten
ProductDevelopmentLevel;Lvl. <var>;Stf. <var>
ProductDevelopmentLevelLong;Level;Stufe
ProductPresets;Presets;Voreinstellungen
NoProduct;None;Kein Produkt
SelectCompany;Select Company;Unternehmen auswählen
//Products
ChangeProduct;Change Product;Produkt wählen
NoProductsOfCompanyTitle;No products;Keine Produkte
